2111 子時三刻妻有妨/妻配火命必姓張 子立水土方存保 父金母土母先傷
2151 辰時四刻犯刑沖 父金母土父先終 妻宮水火無相剋 子水火命終得通
2152 二千一百定命元 雙親宮中有差參 父命屬牛登仙界 母命屬狗壽如山
2153 運交癸丑主生財 主得家庭喜氣來 早觀旭日東山起 爽挹雲天入滿懷
2154 四數家人定於宮 三刻時間五子成 蘭桂一堂多趣樂 漫遊杖履享天齡
2155 二十方交苦用功 經綸萬卷到胸中 命中自帶文昌貴 美玉無瑕發碧龍
2156 結髮之妻命要妨 只因牛相犯刑傷 可憐鏡破釵分後 屬狗新弦又一房
2157 葵丑運臨兩不平 上五癸運稱心情 下五丑位多不利 鎮日凝眸無笑容
2158 運行癸丑有文星 合主揚眉顯姓名 直上青雲遊泮水 門庭桂子正芬謦
2161 申時四刻主損妻 火土不妨報君知 命中四男終須有 子長必在火年植
2162 水澤節臨二數懲 雙親位上不周全 嚴父屬牛先剋去 慈母屬豬福綿綿
2163 十五十六流年強 一門吉慶總無傷 求謀事事皆稱順 瑞氣縕絪桂子香
2164 三刻定命六子身 也有代破也有成 莫謂陰陽無準算 必須晚歲始豐盈
2165 三十二歲學堂明 窗前嘯傲待功名 莫歡一時猶未就 風雲旦日自然陞
2166 錯配鴛鴦不長久 屬牛元配犯刑傷 六爻數演推來日 續配豬庚福壽昌
2167 女命三刻注得明 刑傷骨肉子難成 一身孤弱將何恃 日來早可擇螟蛉
2168 八字命中仔細詳 龍潛滄海待時揚 硯台犯煞名難就 解破必然姓字香
2171 運交乙位是青龍 大限逢之百事享 出水蛟龍歸大海 平原猛虎返山中
2172 演數循環定命詳 兌來變震定綱常 命中主有三個子 雖然同父不同娘
2173 三九四十事遂心 家門喜慶遂相生 瑣碎蹤有無災害 春滿乾坤福到庭
2174 二千一百定子宮 三刻時逢主順通 一樹蟠桃生七顆 內有代破免刑沖
2175 運交乙木遇巽宮 篩防口舌並災生 是非之事君須避 不利難免有虛驚
2176 人生得子注前生 六爻加旅是恩星 運到乙木添喜氣 結得丹桂一子成
2177 身命二宮白虎方 三朝五日病成傷 若還昆煞不解破 兒女因緣付凄涼
2178 大小耗散入命宮 定知財帛不能存 隨來隨去還空手 本來由命不由人
2181 運臨丑位是吉星 去盡愁煩喜笑生 時來風送滕王閣 萬里無雲月正明
2182 命犯凶星勾絞纏 子息宮中不周全 雖然三子堂前立 數中定有破家男
2183 流年六三與六四 步步康強吉慶至 福履憂遊春滿堂 動興措兮均如意
2184 時辰三刻極楨祥 兒女宮中各自強 森森八子堂前立 內有代破免刑傷
2185 丑運交來是北方 駁雜瑣碎不安康 虛驚不利時堂有 晦氣艱難有幾場
2186 大運丑位主添祥 氳氤瑞氣出華堂 桂蘭日有欣欣意 正報琴房產一郎
2187 三歲四歲要提防 數逢喪車主不良 此關凶煞早解散 以後坦道上康庄
2188 命犯喝星有幾愁 錢財破耗結怨仇 交朋結友終須慎 酒肉場中可小休
2211 一雙飛雁宿梅花 兄弟二人各立家 次序排來君是長 連枝同氣享榮華
2212 二千二百數逢空 父命屬牛命已終 慈母屬鼠先剋去 堂前獨立度光陰
2213 大運流轉乙丑宮 災殃口舌事重重 謀為無益徒興歡 六畜人丁有不寧
2214 交到乙運悶沈沈 欲問何事不稱心 門外飄揚喪皤帛 原來堂上逝父親
2215 一雙燕子棲畫樑 姐妹二人各逞強 數裡推來分上下 定君次序在頭行
2216 紅綿牽成作鳳凰 前生注定命榮昌 蘭房得有同相會 配合佳人表姑娘
2217 乙丑運臨未稱情 上五年間有憂驚 交到下五年順吉 喜支菱花開笑容
2218 三刻生人福祿齊 青雲一步上天梯 花開泮水多顏色 海哺生珠世上稀
2221 長空鴻雁息江濱 草色芊芊瑞氣新 昆促五人君居次 父母爻上刑害成
2222 象逢大有轉凄涼 中有代破主刑傷 雙親庚相同屬丑 乾坤虛花壽不長
2223 海底撈月丁丑宮 財帛聚處總成空 凡無事處尋晦氣 猶如花發遇狂風
2224 運交丑宮煩惱生 庭前椿樹不長榮 生身嚴父遊仙去 枕魄含哀涕淚零
2225 二千二百五數成 推算君家姊姐宮 桃李五枝身在四 連枝同氣一娘生
2226 鴛鴦交頸綠水邊 青青荷蓋勝仙緣 妻宮必配金家女 琴瑟相偕到百年
2227 運交丁丑有災殃 懶向妝台巾粉黃 上五丁宮殊不穩 下五丑位保安康
2228 丑時生人帶文星 時不來兮娩不成 呻想月中扳桂子 無緣路入廣寒宮
2231 手足宮中自高強 長江鴻陣接飛揚 兄弟七人身居二 春風虹影不成雙
2232 命逢二數主不祥 乾坤二數有刑傷 丑庚嚴父應剋去 慈母屬虎壽不長
2233 己丑運臨是土鄉 求財不遂反主殃 殘花狂雨風前燭 落馬崖懸忽散靼
2234 運交乙宮數不強 黃花妍秀遇嚴霜 此運慈母塵緣盡 節哀順變且從場
2235 二千二百數逢奇 姐妹宮中辨高低 一樹春開花七朵 次第排來第五枝
2236 鴛鴦枕上兩心知 琴瑟調和燕樂時 妻配鄭氏佳人好 如濱相敬效齊眉
2237 運交己丑有吉星 上五年中不稱情 交到下五丑運內 和順平安顯笑容
2238 人生得意出奇男 正說君生年十三 入命紅鷥相扶照 榮遊泮水喜開顏
2241 花開棠棣正逢春 兄弟林森有八人 代破內中曾不免 君身居二是麒麟
2242 椿堂丑相已先妨 屬兔萱慈亦主傷 數定離宮刑剋重 高堂怙恃歡凄涼
2243 辛丑運臨西北方 綿綿瑣碎少楨祥 天邊雲月相遮掩 切萱謹守作提防
2244 北方丑運悶沈沈 失卻家長無處尋 破財又兼人耗散 剋去萱堂老母親
2245 三刻生人貴非輕 世習儒葉耀祖宗 父子俱登龍虎榜 職受皇恩福祿增
2246 六爻大壯是姻緣 鷥鳳和鳴非偶然 並蒂蓮花池上舞 妻宮水姓永偕聯
2247 運臨辛丑有災逢 上五辛中不遂心 下五丑運多喜氣 菱花照面喜欣欣
2248 十載寒窗苦用功 胸中浩氣吐長虹 年交甘五新遊泮 賦就凌雲唱大風
2251 鴻雁南飛思故鄉 花開棠棣正芬芳 兄弟九人君居二 注定數中代破傷
2252 二千二百遇兌宮 雙親位上犯刑沖 母庚屬龍父牛相 二親合主命歸陰
2253 行交癸丑運如何 吉事少來凶事多 事不遂心財不聚 卦爻變否應遭磨
2254 大運乙方不遂心 妻宮剋去歡芳春 悲歡離合皆前定 又待來生結夙因
2255 人生手足有深情 根合枝分各自榮 陰際二人身在次 不是同胞一母生
2256 前生已定注今生 閻姓佳人妻室真 並翅鴛鴦偕唱和 同衾共枕白頭榮
2257 癸丑運臨喜及愁 上五年中屢見憂 下五年中顯祥瑞 門前景物變悠悠
2258 文章經世苦無功 廿載寒窗總未成 等至三十零七歲 天衢初步耀門庭
2261 火天大有遇乾宮 手足行中定得清 一樹蟠桃結二果 原來母教出胎形
2262 二千二百數逢空 父母宮中遇難星 嚴父屬牛先剋去 母相屬蛇壽亦終
2263 十五十六不為高 作事虛花口舌招 離到巽宮多不利 水封寒雪看風搖
2264 運到丑宮命主嫌 折散鴛鴦亦可憐 元配佳人辭世去 瑤琴斷續已無弦
2265 五數遯卦變吉祥 姐妹五人不同娘 次序排來君五位 必有代破免刑傷
2266 妻宮許氏賢貞女 天定鶯侍分燕侶 百年合巹共歡樂 自然倡予能和汝
2267 女命生來衣祿豐 生逢丑時有賢能 助夫興家勤理業 溫柔和順達三從
2268 三刻生人富豪成 主尋別路誠前程 瞻仰官星無進步 惟求異路獲財名
2271 一數同人定弟兄 五枝昆玉最分明 次序排來居第二 連枝同氣一娘生
2272 日元丑位絕纖埃 福祿榮華主自來 財帛宅田皆有陰 滿門頤樂正開懷
2273 三九四十不安全 駁雜瑣碎有連篇 幾番心膽俱交瘁 心神恍忽日如年
2274 乙木逢春反主驚 吉星暫隱禍星臨 兒郎天祿因緣盡 未免傷情出泣聲
2275 天雷無妄五數連 命中宅位不周全 堂前侍喚隨人使 尚喜晚景總安然
2276 月下老人注鴛儔 若非前定必難求 妻宮配得賈家女 並蒂因緣到白頭
2277 生在丑時數自天 命中衣紫有機緣 夫人一品由封贈 晚景桑榆樂壽年
2278 賢愚貧賤命安排 君是風流浪子才 一生不作農商事 妻亦嬌娜體態乖
2281 二千二百細推尋 手足宮中有十人 注定內中有代破 梅花枝上第二春
2282 提綱行出命中知 定你生成格局奇 二歲新交稱順遂 英豪從此露真機
2283 六十三四禍星纏 高低展折事相連 破財耗喪難安穩 思盡謀來總不全
2284 大運交丑悶重重 辰宮值限損子身 聖賢不免西河痛 世事到頭未足論
2285 三刻生人定命真 僕男婢女配成親 前世姑緣由有老 堂前使喚度秋春
2286 六爻逢姤定姻緣 必興桑氏結成親 鴻案相莊和好樂 同衾共枕度芳辰
2287 二百八十定命真 宮中財帛異常人 皇恩屢沐承佳渥 侯門嬌貴結成親
2288 心和氣靜好稱強 何事畏人道短長 和順持家夫主重 人前容止羡端莊
2311 先天數定最分明 洩漏天機神鬼驚 父命屬牛母命鼠 高堂自發喜長齡
2312 二數同人數逢空 父命屬牛壽已終 慈母馬庚亦剋去 二親俱主赴幽冪
2313 運交乙丑不平勻 上五年中喜氣生 交到下五丑運內 猶如雲霧蔽晴空
2314 卦逢噬嗑四數詳 回寅斗柄見三陽 生辰正月初六日 料峭春寒帶雪霜
2315 森森棠棣長成林 忽被狂風猛雨侵 兄弟八人命不一 三人先注早歸陰
2316 姻緣簿上注分明 妻宮配定姓胡人 數中原本早注就 合枕還期百歲榮
2317 數遇天羅不可當 猶如衰草值嚴霜 二十四歲塵緣斷 好比燒了斷頭香
2318 節氣新來值太陽 主人情性出高強 生逢閏正初六日 父母含頤喜弄璋
2321 二千三百細推尋 爻內乾坤數定真 父母生庚皆已定 都是屬牛祆行人
2322 屬牛庚相是嚴君 並注屬羊是母親 宮位都逢羅綱地 雙親同已命歸陰
2323 限行丁丑吉兼凶 如意逢丁事事通 遇丑流連多耗散 隨緣養晦策安寧
2324 草木逢春正發榮 人人歡笑喜盈盈 生逢正月初七日 賦就螽斯飲旨醇
2325 飛翔鴻雁滿長空 兄弟八人遇不同 棠棣開花隨半謝 四人相繼赴冥中
2326 佳人婁姓是妻房 六數爻成命主昌 月老配就鴛鴦侶 蓮開並蒂正芬芳
2327 南極仙翁注世人 魂飛魄散奪元神 孤舟入海風潮起 三十六歲赴幽冥
2328 二千三百遇坤宮 佳節新春笑樂中 生在閏正初七日 堂前父母盡歡容
2331 火天大有遇同人 嚴父屬牛定命真 屬虎本原慈母相 福如東海壽如松
2332 父母宮中遇厄星 二爻之內犯刑沖 屬猴慈母歸陰府 嚴父屬牛往幽冥
2333 運臨己丑定吉凶 上五年間喜氣逢 下五年來煩惱有 猶如花開遇狂風
2334 滿門桃李及春芳 風動寒窗白似霜 生辰正月初八日 臨盆馥郁發奇香
2335 花開棠棣遇狂風 兄弟八人壽不同 鴻雁離屋飛去遠 仲昆五個入冥中
2336 赤繩繫足兩相當 鷥鳳和鳴百世昌 已注妻宮萬氏女 白頭偕老不尋常
2337 二千三百數逢空 船到江心順逆風 命限方交四十八 黃梁一夢萬緣空
2338 紛紛春雪更時晴 閏正初八吉日辰 父母此朝添喜氣 新生出世看新春
2341 乾相嚴君命屬牛 坤宮慈母卯年求 遐齡共比蒼松壽 福祿雙雙到白頭
2342 剋父剋母定無疑 父是屬牛母屬雞 數中定就無差錯 冥冥注冊在天機
2343 辛丑運臨數已分 吉祥上五喜逢春 再交丑運多不利 退財晦氣在中生
2344 百卉逢春競逐芳 花開春日滿園香 生逢正月初九日 父母同聲慶弄璋
2345 森森棠棣長成林 忽被狂風四處分 兄弟八人壽不一 內中六位去歸陰
2346 並蒂蓮花色更鮮 鴛鴦戲水樂無邊 蘭房席氏為君偶 偕老相盟誓百年
2347 花開周甲莫留連 祿馬依君六十年 宮命城池土最忌 黃梁一瞑赴重泉
2348 生身劬力報恩難 料峭春風分外寒 閏正月生初九日 紛紛祥瑞出雲瑞
2351 風天小畜一數評 母命原來是屬龍 父命屬牛無移改 雙親俱主享遐齡
2352 二千三百數不祥 嚴父去世母亦亡 父相屬牛母屬狗 一番思念一番傷
2353 大運癸丑佳不佳 半開半謝雨中花 上五年間多順利 交到丑運亂如麻
2354 靈胎瓜熟已成形 萬物逢春俱發榮 堂上雙親添喜氣 正月初十降生君
2355 紛紛鴻雁撲去飛 上搏空冥羽力微 兄弟八人生後散 撇君獨自守庭懷
2356 前定姻緣不改移 命中注定正相宜 蘭房路氏佳人佳 一枕鴛鴦睡足時
2357 二千三百數逢窮 限至七十二歲終 天有風雲防不測 論年猶是古稀翁
2358 無邊造化賜原神 佳節重逢歲月新 堂上雙親偕樂事 閏正初十記君生
2361 家人一數定乾坤 玉兔金鳥走不停 雙親庚相俱康吉 父是屬牛母小龍
2362 數中注定兩親愛 父命屬牛世不留 慈母屬豬壽亦短 孝思助原總難酬
2363 命注盤中金水奇 聰明才智世間稀 心存仁義行方正 晚年福壽更何難
2364 先天定數丑時榮 已注平生帶貴人 不足小人恩作怨 勸君交友要當心
2365 坎水輪轉巽宮流 母命屬蛇父屬牛 老來蔗境甘瀰甚 有壽雙雙到白頭
2366 姻緣簿上寫分明 巨氏蘭房注此生 琴瑟和嗚同靜好 雙飛鴛侶白頭榮
2367 神仙有籙注遐齡 八十四年駕玉軿 辭卻人間恨洞府 四時八節度長春
2368 二千三百姤卦陳 生平必作貿易人 四海興隆財帛茂 修來廣積到頭榮
2371 命逢天喜主禎祥 好事臨身三兩場 舉動謀為無不利 悠悠福祿正綿長
2372 三刻生人犯耗沖 雙親命定早歸空 陰陽莫謂剋憑証 透露五行數已空
2373 先天帛化定乾坤 心地慈悲愛救貧 利祿金珠全不重 平心喜與德為粼
2374 先天推算丑時生 四海五湖結友朋 滿座乾杯君樂意 無私心曲自光明
2375 年上叨承宗祖要 支逢丑字更豐隆 前人種積兒孫享 家道方看晚益享
2376 姻緣夙定非偶然 妻配範女淑且賢 聲聲琴瑟相嗚和 君子佳人月正圓
2377 結髮佳人主有妨 蘭房無語剩凄涼 瑤瑟重續屬牛相 地久天長共壽康
2378 命逢驛馬道途尋 在外生涯雍客衾 衣祿四方多際遇 報君財帛可稱心
2381 流年劫煞犯命宮 破財又防口舌生 閉門養性真為上 預洩天機作預聞
2382 生逢丑日未全享 早歲崢嶸總是空 休怪天公偏不美 艱辛亦可濟成功
2383 二千三百定性情 最喜人來作笑迎 喜語諛詞俱動聽 千金贈客視為輕
2384 丑時命定枉深情 骨肉相乖怨已生 大可小心先律已 待時運至見光明
2385 不戀田園到外鄉 祖宗遺業未沾光 離家別井平生慣 開出旁枝晚桂香
2386 二千三百定妻房 配就佳人必姓江 月老注定無移改 瑤琴共奏喜呈祥
2387 元配已剋續又剋 又娶又剋太凄涼 剋去三房弦又續 必配屬牛乃久長
2388 蟒袍玉帶是君衣 富貴榮華轉眼虛 女扮男妝擅歌舞 台前觀笑有誰如
2411 堂上數推父屬牛 母親屬馬午年求 遐齡共比松筠壽 福祿綿長到白頭
2412 丹桂飄來雲外香 屬牛長子主安祥 上無兄來下無弟 獨秀一枝看久長
2413 三刻生人命不強 椿庭早歲已先亡 孤身待奉高堂母 尚幸萊衣樂正長
2414 惠風和暢百花香 景色三春草木長 生辰三月初六日 父母堂前慶弄璋
2415 堂上雙親父屬牛 母親屬馬百年秋 巽入天門主享利 悠悠晚歲更無憂
2416 運交乙丑事多成 五福臨門財利豐 得雨旱苗隨處藏 逢春枯木自成林
2417 乙丑命屬海中金 享壽七十有三春 壓卻紅塵歸上界 九天恩詔賜加身
2418 花開芍藥倍玲瓏 搖曳枝頭趁早曲 生逢三月初六日 桃花經雨更添紅
2421 二千四百定命祥 乾坤交泰主吉昌 堂上雙親同有壽 父命屬牛母屬羊
2422 男女宮中注得清 二千四百遇恩星 長子屬牛是庚相 堂前丹桂兩枝榮
2423 秋來鴻雁兩爭嗚 上下翱翔正有情 兄弟二人先逝父 因生三刻立命宮
2424 楊花浮盪杏花鮮 雨露平勻宅上煙 生辰三月初七日 父母歡樂有房前
2425 巽宮變否乾坤詳 春回禹甸萬物光 九五爻度太陽照 父命丑年母屬羊
2426 大運丁丑主豐盈 出入和順貴人逢 十年風順無遮阻 凡百名成利亦成
2427 生逢丁丑出藍田 澗下水命得安然 六十九歲衣祿盡 黃梁一夢到重泉
2428 三春天氣日初長 景物陽和草木香 生逢閏三初七日 悠悠歡樂在高堂
2431 先天數定父庚牛 慈母原來命屬猴 堂上雙親正安樂 青山綠水還悠悠
2432 二千四百數分明 妻子財祿主畢生 長子若是屬牛相 堂前三子各崢嶸
2433 三刻時辰定命中 有三兄弟不相同 父親業已先泉下 淚洒衣襟染血紅
2434 荷風吹送滿塘香 桃李盈盈拂院牆 生辰三月初八日 恰如大塊出文章
2435 乾坤爻現五數奇 嚴父屬牛定不疑 慈母屬猴持家慶 蒼蒼翠柏世稱稀
2436 運交己丑卜興隆 凡事謀為湊意中 家宅平安添喜氣 庭前丹桂正新榮
2437 己丑屬牛壽算延 只差呂望整三年 推來世祿七十七 拋卻塵緣到九泉
2438 吉日生君佳作期 重逢三數定根基 閏三初八降生日 風景宜人福自奇
2441 二千四百遇巽宮 雙親庚相定得清 母命屬雞父牛相 壽比南山不老松
2442 丹桂枝頭黃又屬 牛長子亦賢郎數 中注定數四子繼 繼紹祖宗姓字芳
2443 時辰三刻定飛翔 手足宮中有兩雙 無奈太陽雲掩去 雙親堂上父先喪
2444 楊柳隨風過小川 九天雨露降人前 生逢三月初九日 明月高樓照未眠
2445 二千四百遇巽宮 兩親庚相自分明 母命屬雞父牛相 南山晃老有青松
2446 運交辛丑事全享 枯木逢春亦發榮 平步十年多坦道 臨門喜氣接長虹
2447 二千上百遇坎宮 辛丑壁上土命生 大運新交七十八 一夢南柯壽已終
2448 池水依依長碧蓮 重逢歲月尚春風 生辰閏三初九日 丹桂新生玉出田
2451 數定高堂父母宮 雙親順吉注分明 屬牛嚴父勤家計 慈母戌相亦相同
2452 男女宮中仔細研 屬牛長子定當然 蟠桃枝上數有五 桂子蘭孫福澤綿
2453 三刻生人兄弟多 手足五人意不和 堂上父樣先去世 相親相愛免風波
2454 桃李成蹊到處芳 迎門鵲報鬧春光 生辰三月初十日 預卜將來景運昌
2455 二千四百定分明 堂上雙親宮位清 父相屬牛母戌相 綿綿都是白頭人
2456 運入北方癸丑鄉 家門迪吉顯輝光 求名問利無波折 得意最宜西北方
2457 癸丑桑柘木命真 壽享七十又九齡 厭卻塵寰歸上界 九天仙子接雲旌
2458 桃李開花映日紅 蟠桃枝上笑東風 生逢閏三初十日 父母堂前喜自融
2461 父母宮中一數求 嚴君必定庚屬牛 母親屬豬前生定 有壽雙雙到白頭
2462 蘭葉逢春雨露勻 蟠桃結子色踰新 長子屬牛原命定 庭前大子正紛紛
2463 空中鴻雁望瀟湘 三刻生人氣象昌 兄弟六人先去父 其中主有石皮傷
2464 丑時生日主榮昌 兄弟主中折桂郎 自喜風雲生足下 明珠合浦照輝光
2465 父母爻中巽數求 嚴君必定是屬牛 慈母屬豬前生定 雙雙有壽到白頭
2466 生逢丑時命最清 入宮治學得門生 廣文世業多桃李 松柏長青志自榮
2467 二千四百數逢空 祿馬俱倒壽緣終 不必功名還戀機 先天注數命宮中
2468 三刻生人命最清 醫書飽讀擅奇能 溫涼寒熱治奇症 婦孺還近書逢迎
2471 之天大有一數詳 側室外郡二子香 莫訝老蚌生珠晚 自是長庚入夢方
2472 子息宮中遇恩星 丹桂庭前七子成 若問長郎屬何相 先天數定丑年生
2473 生辰三刻注時辰 同氣連枝七弟兄 堂上雙親先去父 石皮傷亦在其中
2474 前生緣念結今生 莫怨天來莫怨人 元配剋去弦又續 屬牛此婦必殘婚
2475 月令逢丑衣祿豐 祖宗積德有餘享 恩星田宅宮中照 自在逍遙樂現成
2476 數定丑時是宿儒 揮毫落紙變成珠 身遊泮水看頭白 黃畢隨時作拂發
2477 二千四百遇奶宮 主人一生奉神明 常懷惻隱行方便 雖然遇險不成凶
2478 生平習熟有仙方 鍊就金丹妙藥藏 去腐生肌真奏效 真傳秘法姓名揚
2481 卦到乾宮變老陽 花開桃李滿庭芳 早年未作壽天客 命中應有兩重娘
2482 茂盛棠枝雨露均 庭前丹桂長成林 長子屬牛招七弟 石皮傷主在其中
2483 南飛鴻雁作翱翔 兄弟八人有損傷 三刻時辰先去父 逢春桃李各芬芳
2484 鴛鴦配合在前生 妻相屬牛剋子星 可惜蘭房難發出 老來義子送君終
2485 三刻時辰定命宮 田園雖有總無功 六親不得為君力 家業尤須別處榮
2486 時生三刻是神工 手報剪刀快似風 錦衣裁成提領袖 天孫手段興君同
2487 刑沖入命總難關 舉步艱辛腰又彎 對面不能看紅日 側身始可眺青山
2488 醫道如君甚出奇 眼科行內作人師 梅開雲霧看紅日 藝術教人路不迷
2511 五行配合定命宮 提綱順遂驗吉凶 嫩芽未被春泉潤 二歲交來不甚通
2512 春風吹暖遍天涯 嫩柳抽條早發芽 生君父歲方十四 昆岡出玉自無瑕
2513 前生恨別話姻緣 今又剋妻不偶然 張氏佳人為續配 同牢預卜可長年
2514 綿蠻黃鳥去猶還 紅杏枝頭結玉盤 生辰五月初六日 明珠一顆降人環
2515 鴛鴦遊水兩相親 配合妻宮必姓榮 交頸同衾情意合 正如魚水恰歡情
2516 大運乙丑不遂心 惹災破耗暗中侵 月明忽被雲遮掩 花正開時竟不晴
2517 甲日時逢乙丑宮 榮華富貴境享通 禹門耀過三層浪 忽聽凌空雷一聲
2518 五月已過又五月 初六降世辭天闕 仙桃結果高堂上 放在盤中帶枝葉
2521 生時二刻有緣人 桃李花開正值春 風擺柳梢青翠葉 屬牛佳偶洞房身
2522 命宮注定著先鞭 丹桂堂肖景色鮮 父歲方交二十六 君身降世到人間
2523 綠水紅蓮背日陰 鴛鴦葉底載浮沈 佳人元配難偕老 再娶新弦必姓金
2524 仲夏初交花盡開 薰風時節暢心懷 問君何日降人世 五月初七離母胎
2525 瑤琴共奏有知音 花草含情結兩心 配定鴛盟葉氏女 芙蓉帳裡度春深
2526 丁丑否運不可當 破財疾病總須防 出門行路常多險 看是平地卻是坑
2527 乙日丁丑時最清 才高班馬占魁名 玉堂金馬重重喜 宴罷瓊林拜帝庭
2528 問君何日離天闕 五月過後又五月 初七正是生辰日 父母雙雙多喜悅
2531 三刻生人問結親 妻宮必配屬牛人 鴛鴦比翼飛來去 紅袖添香有落茵
2532 數中注定無改移 花開枝上倍含姿 父年方交三十八 命主生君福祿齊
2533 妻妾宮中犯剋刑 鴛儔失偶再尋盟 洞房結髮妻遭剋 又續佳人是姓程
2534 炎暑初交五月天 黃鶯弄舌綠揚邊 生辰五月初八日 堂上雙親倍愛憐
2535 一線赤繩繫足長 皮家有女正催妝 姻緣注就為夫婦 白首同偕夢枕休
2536 己丑運臨事有磨 勸君珍重慎風波 天涯孤掉多煙霧 休更回頭喚奈何
2537 丙日己丑時已真 宮中福祿本生成 光宗耀祖門閭顯 捷報春風逢九重
2538 問君生日是何時 大暑交來應最宜 五月過後又五月 初九降生福相齊
2541 四刻生定姻緣事 妻宮屬牛須遂志 百年和好注前生 流水落花應共賦
2542 世上何如為善樂 人生有子萬事足 父年正交五十歲 傳家生君稱心欲
2543 捧打鴛鴦兩處傷 命中注定剋妻房 洞房又設新花燭 續配佳人必姓江
2544 風動波紋水面清 和嗚黃鳥有深情 生辰五月初九日 喜氣盈門車輛迎
2545 鴛鴦逐隧共飛嗚 千里姻緣繫赤繩 配定妻房海氏女 雙雙偕老百年榮
2546 大運辛丑事百端 安心守拙免凋殘 世上利名何必計 且從緩處覓平安
2547 丁日辛丑時最良 行來步步到康庄 千鐘食祿身榮貴 名標黃榜作高揚
2548 端陽佳節又佳期 天賜麟兒顯異姿 閏五初九是生日 天機定命洩君知
2551 五刻時辰憑造化 笑樂洞房華燭下 佳人本是屬牛庚 數定先天真不假
2552 花開嬌艷正春濃 一樹蟠桃結子紅 十四母親胎氣足 降君堵具若飛龍
2553 二千五百數難當 剋去前妻又續房 再娶佳人閻氏女 百年地久共天長
2554 時逢仲夏對薰風 一笑山川照眼紅 生辰五月初十日 黃雞催曉唱玲瓏
2555 造化生人不偶然 佳人姓宓亦良緣 名花解語消開寂 對此芳春莫計年
2556 癸丑運程本不宜 多災多險總無疑 治生且作平安想 高處登臨有更危
2557 戊日癸丑時最榮 必然奎斗耀天庭 科分甲乙稱全美 更比瓊枝鹿宴清
2558 時在六月數五月 炎風一掃殘枝葉 問君何日是生辰 初十方自辭天闕
2561 比目魚遊春水前 花間蝴蝶影翩翩 時辰六刻命中定 妻室屬牛福祿全
2562 春送鮮花滿院香 一枝丹桂照華堂 母年甘六生君日 抱育辛劬恩莫忘
2563 剋去蘭房且莫傷 姻緣定數注分張 瑤琴欲奏新弦續 再娶佳人是姓湯
